 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50  159.52380371   158.0610      6.4350      4.7839      4.2900      0.4086   0.0000
   5.50  175.61622620   174.2150      6.4970      4.7869      4.2820      0.4086   0.0000
   5.50  207.14286804   205.9080      6.6030      4.7918      4.2680      0.4086   0.0000
   5.50  254.76191711   253.6090      6.7300      4.7961      4.2480      0.4086   0.0000
   5.50  302.38095093   301.1020      6.8310      4.7983      4.2310      0.4086   0.0000
   5.50  350.00000000   348.8480      6.9150      4.7991      4.2140      0.4086   0.0000
   5.50  350.00033569   348.7420      6.9160      4.7944      4.1940      0.4086   0.0000
   5.50  350.00112915   348.4380      6.9210      4.7817      4.1380      0.4086   0.0000
   5.50  350.00183105   348.1050      6.9250      4.7697      4.0860      0.4086   0.0000
   5.50  350.00238037   347.7620      6.9290      4.7585      4.0360      0.4086   0.0000
   5.50  350.00283813   347.4380      6.9330      4.7485      3.9920      0.4086   0.0000
   5.50  350.00326538   347.0980      6.9370      4.7381      3.9460      0.4086   0.0000
   5.50  350.00363159   346.7540      6.9400      4.7282      3.9020      0.4086   0.0000
   5.50  350.00393677   346.3870      6.9440      4.7181      3.8580      0.4086   0.0000
   5.50  350.00424194   346.0230      6.9470      4.7079      3.8130      0.4086   0.0000
   5.50  350.00457764   345.5040      6.9520      4.6929      3.7480      0.4086   0.0000
   5.50  350.00488281   344.9770      6.9560      4.6773      3.6810      0.4086   0.0000
   5.50  350.00515747   344.4530      6.9600      4.6612      3.6120      0.4086   0.0000
   5.50  350.00537109   343.9380      6.9640      4.6453      3.5440      0.4086   0.0000
   5.50  350.00555420   343.4530      6.9670      4.6294      3.4760      0.4086   0.0000
   5.50  350.00567627   343.1370      6.9690      4.6183      3.4290      0.4086   0.0000
   5.50  350.00576782   342.8550      6.9710      4.6076      3.3840      0.4086   0.0000
   5.50  350.00585938   342.5660      6.9730      4.5962      3.3360      0.4086   0.0000
   5.50  350.00595093   342.3010      6.9750      4.5852      3.2900      0.4086   0.0000
   5.50  350.00604248   342.0350      6.9770      4.5749      3.2470      0.1272   0.0000
   5.50  350.00613403   341.7420      6.9790      4.5630      3.1970      0.2036   0.0000
   5.50  350.00619507   341.5120      6.9800      4.5522      3.1520      0.2912   0.0000
   5.50  350.00625610   341.3050      6.9810      4.5409      3.1050      0.2921   0.0000
   5.50  350.00631714   341.1330      6.9830      4.5303      3.0610      0.2926   0.0000
   5.50  350.00634766   340.9610      6.9840      4.5188      3.0140      0.2934   0.0000
   5.50  350.00640869   340.8090      6.9850      4.5080      2.9690      0.2942   0.0000
   5.50  350.00643921   340.6290      6.9860      4.4979      2.9280      0.4093   0.0000
   5.50  350.00650024   340.4800      6.9870      4.4860      2.8790      0.4123   0.0000
   5.50  350.00653076   340.3280      6.9880      4.4754      2.8350      0.4147   0.0000
   5.50  350.00656128   340.1990      6.9890      4.4643      2.7900      0.4172   0.0000
   5.50  350.00659180   340.0620      6.9900      4.4524      2.7410      0.4195   0.0000
   5.50  350.00662231   339.9570      6.9910      4.4425      2.7010      0.4213   0.0000
   5.50  350.00665283   339.7150      6.9920      4.4210      2.6130      0.4247   0.0000
   5.50  350.00668335   339.6020      6.9930      4.4094      2.5660      0.4262   0.0000
   5.50  350.00671387   339.4840      6.9930      4.3971      2.5160      0.4276   0.0000
   5.50  350.00674438   339.2770      6.9950      4.3737      2.4210      0.4297   0.0000
